State,Fire_Size
AK,32233094.242207766
AL,920545.2549998926
AR,508911.83000999247
AZ,5576680.933988312
CA,12745858.571977945
CO,1842309.0900004492
CT,11243.310000000673
DC,32.50000000000003
DE,4833.65000000002
FL,4436748.159851256
GA,1589959.1800603443
HI,252761.00000002302
IA,71491.96359999999
ID,13684334.920997536
IL,22807.51500000001
IN,17322.890000000174
KS,922613.8010000202
KY,1014890.7849959958
LA,661023.9129769698
MA,6124.730000000094
MD,67279.52999999812
ME,24555.63999999797
MI,140229.43400000763
MN,1210605.4200100556
MO,459525.7410000019
MS,1135483.7999998746
MT,6279526.1201784955
NC,730521.4600095095
ND,412607.2299999911
NE,967398.7578999742
NH,3862.0070000000287
NJ,131963.53600000008
NM,6380041.761009508
NV,9015855.33999847
NY,93771.97281605599
OH,23933.85499999989
OK,3232490.3100001584
OR,8412801.369994674
PA,54730.765528998614
PR,138688.42000000013
RI,562.4100000000032
SC,541666.1449799276
SD,1570865.6003201606
TN,486652.4000099769
TX,9786218.309977071
UT,4114926.35901079
VA,341645.81999002025
VT,1556.485999999999
WA,4782218.310000396
WI,88675.26605700521
WV,576631.0499999546
WY,2401470.684200223
